Municipality,Latitude,Longitude
Alexander,50.448750,-96.062594
Alonsa,50.975737,-99.083084
Argyle,49.362745,-99.195208
Armstrong,50.678552,-97.447071
Bifrost-Riverton,51.065145,-97.171383
Boissevain-Morton,49.177449,-100.095639
Brenda-Waskada,49.177562,-100.702469
Brokenhead,50.129182,-96.515295
Cartier,49.893238,-97.708674
Cartwright-Roblin,49.112658,-99.289912
Clanwilliam-Erickson,50.505908,-99.815605
Coldwell,50.653185,-97.965012
Cornwallis,49.791450,-99.837458
Dauphin,51.148403,-100.047842
Deloraine-Winchester,49.177715,-100.432818
De Salaberry,49.385218,-97.022724
Dufferin,49.535916,-98.058145
East St. Paul,49.981036,-97.015212
Ellice-Archie,50.328862,-101.329030
Elton,49.975535,-99.866031
Emerson-Franklin,49.136862,-97.018887
Ethelbert,51.536548,-100.492774
Fisher,51.071025,-97.657871
Gilbert Plains,51.154772,-100.438507
Gimli,50.660923,-97.046539
Glenboro-South Cypress,49.660375,-99.379878
Glenella-Lansdowne,50.415944,-99.209932
Grahamdale,51.363957,-98.400709
Grandview,51.154779,-100.789787
Grassland,49.444223,-100.376061
Grey,49.709464,-98.073935
Hamiota,50.196399,-100.630547
Hanover,49.473671,-96.800014
Harrison Park,50.551567,-100.158409
Headingley,49.867767,-97.391052
Hillsburg-Roblin-Shell River,51.333636,-101.291279
Killarney-Turtle Mountain,49.144930,-99.680339
La Broquerie,49.399336,-96.510410
Lac du Bonnet,50.257635,-96.121814
Lakeshore,51.222560,-99.640943
Lorne,49.443682,-98.748781
Louise,49.153881,-98.872869
Macdonald,49.667970,-97.462527
McCreary,50.755818,-99.430950
Minitonas-Bowsman,52.143549,-100.978360
Minto-Odanah,50.240304,-99.805875
Montcalm,49.188575,-97.324739
Morris,49.351507,-97.370064
Mossey River,51.612086,-100.022609
Mountain,52.152281,-100.650500
Norfolk Treherne,49.668909,-98.590579
North Cypress-Langford,49.996612,-99.398259
North Norfolk,49.930887,-98.831949
Oakland-Wawanesa,49.621011,-99.848475
Oakview,50.196340,-100.217183
Pembina,49.174551,-98.500909
Pinawa,50.169155,-95.954121
Piney,49.190711,-95.907835
Pipestone,49.665322,-101.145104
Portage La Prairie,49.969663,-98.288946
Prairie Lakes,49.403290,-99.629966
Prairie View,50.328881,-100.983790
Reynolds,49.703627,-95.962170
Rhineland,49.124751,-97.635790
Riding Mountain West,50.903863,-101.195461
Ritchot,49.653735,-97.092253
Riverdale,49.975044,-100.279093
Rockwood,50.285878,-97.287124
Roland,49.354799,-97.900193
Rosedale,50.440237,-99.541006
Rossburn,50.716012,-100.758569
Rosser,50.005400,-97.411568
Russell-Binscarth,50.726872,-101.369321
Sifton,49.665358,-100.667686
Souris-Glenwood,49.621061,-100.258088
Springfield,49.905262,-96.697192
St. Andrews,50.274048,-96.997213
Stanley,49.131042,-98.069568
St. Clements,50.267428,-96.693630
Ste. Anne,49.668148,-96.648466
Ste. Rose,50.999988,-99.450182
St. Franois Xavier,49.986370,-97.664388
St. Laurent,50.430027,-97.793858
Stuartburn,49.133494,-96.514736
Swan Valley West,52.030631,-101.407025
Tache,49.730304,-96.724747
Thompson,55.757277,-97.844695
Two Borders,49.266243,-101.112127
Victoria,49.661157,-98.931010
Victoria Beach,50.731744,-96.540228
Wallace-Woodworth,49.931571,-100.957839
West Interlake,50.983622,-98.357566
Westlake-Gladstone,50.285710,-98.842114
West St. Paul,50.017341,-97.115637
Whitehead,49.797992,-100.257914
Whitemouth,49.955201,-95.956607
Winnipeg,49.863657,-97.157316
Woodlands,50.212442,-97.716210
Yellowhead,50.461584,-100.507911
