Municipality,Latitude,Longitude,Shape Area
Alexander,50.448750,-96.062594,1627317933.000000
Alonsa,50.975737,-99.083084,3043397254.000000
Argyle,49.362745,-99.195208,810078174.700000
Armstrong,50.678552,-97.447071,1926994104.000000
Bifrost-Riverton,51.065145,-97.171383,1652419473.000000
Boissevain-Morton,49.177449,-100.095639,1167839536.000000
Brenda-Waskada,49.177562,-100.702469,778217212.700000
Brokenhead,50.129182,-96.515295,752416261.900000
Cartier,49.893238,-97.708674,557258418.000000
Cartwright-Roblin,49.112658,-99.289912,737965236.800000
Clanwilliam-Erickson,50.505908,-99.815605,387128991.100000
Coldwell,50.653185,-97.965012,909616804.000000
Cornwallis,49.791450,-99.837458,504795149.400000
Dauphin,51.185288,-100.075822,1518172091.000000
Deloraine-Winchester,49.177715,-100.432818,776996627.000000
De Salaberry,49.385218,-97.022724,671553523.700000
Dufferin,49.535916,-98.058145,918686007.100000
East St. Paul,49.981036,-97.015212,43156339.200000
Ellice-Archie,50.328862,-101.329030,1159908126.000000
Elton,49.975535,-99.866031,577321760.300000
Emerson-Franklin,49.136862,-97.018887,1006400662.000000
Ethelbert,51.536548,-100.492774,1139097139.000000
Fisher,51.071025,-97.657871,1497540573.000000
Gilbert Plains,51.154772,-100.438507,1054666698.000000
Gimli,50.660923,-97.046539,319104646.900000
Glenboro-South Cypress,49.660375,-99.379878,1111341691.000000
Glenella-Lansdowne,50.415944,-99.209932,1275803096.000000
Grahamdale,51.363957,-98.400709,2413422498.000000
Grandview,51.154779,-100.789787,1206115349.000000
Grassland,49.444223,-100.376061,1357817067.000000
Grey,49.709464,-98.073935,969667718.400000
Hamiota,50.196399,-100.630547,580025663.200000
Hanover,49.473671,-96.800014,742454255.300000
Harrison Park,50.551567,-100.158409,1121765598.000000
Headingley,49.867767,-97.391052,109346103.000000
Hillsburg-Roblin-Shell River,51.333636,-101.291279,1789124131.000000
Killarney-Turtle Mountain,49.144930,-99.680339,943578801.600000
La Broquerie,49.399336,-96.510410,580714133.700000
Lac du Bonnet,50.257635,-96.121814,1198165342.000000
Lakeshore,51.222560,-99.640943,1319045648.000000
Lorne,49.443682,-98.748781,972725808.800000
Louise,49.153881,-98.872869,974507399.600000
Macdonald,49.667970,-97.462527,1159810968.000000
McCreary,50.755818,-99.430950,530436113.900000
Minitonas-Bowsman,52.143549,-100.978360,1204303640.000000
Minto-Odanah,50.240304,-99.805875,758398643.000000
Montcalm,49.188575,-97.324739,471715285.100000
Morris,49.409956,-97.480694,1041848206.000000
Mossey River,51.612086,-100.022609,1136379487.000000
Mountain,52.152281,-100.650500,2627374336.000000
Norfolk Treherne,49.668909,-98.590579,745045438.700000
North Cypress-Langford,49.996612,-99.398259,1771294982.000000
North Norfolk,49.930887,-98.831949,1163335679.000000
Oakland-Wawanesa,49.621011,-99.848475,580471974.500000
Oakview,50.196340,-100.217183,1161172506.000000
Pembina,49.174551,-98.500909,1143491802.000000
Pinawa,50.169155,-95.954121,136956421.400000
Piney,49.190711,-95.907835,2462329988.000000
Pipestone,49.665322,-101.145104,1162203696.000000
Portage La Prairie,49.999426,-98.231312,2087041811.000000
Prairie Lakes,49.403290,-99.629966,1097388683.000000
Prairie View,50.328881,-100.983790,1741531174.000000
Reynolds,49.703627,-95.962170,3580530223.000000
Rhineland,49.124751,-97.635790,960687447.100000
Riding Mountain West,50.903863,-101.195461,1743903963.000000
Ritchot,49.653735,-97.092253,338191560.900000
Riverdale,49.975044,-100.279093,582113197.400000
Rockwood,50.285878,-97.287124,1202807328.000000
Roland,49.354799,-97.900193,485124020.400000
Rosedale,50.440237,-99.541006,867749283.800000
Rossburn,50.716012,-100.758569,776537875.600000
Rosser,50.005400,-97.411568,442253000.100000
Russell-Binscarth,50.726872,-101.369321,581602045.300000
Sifton,49.665358,-100.667686,872008322.700000
Souris-Glenwood,49.621061,-100.258088,581579869.300000
Springfield,49.905262,-96.697192,1080193901.000000
St. Andrews,50.274048,-96.997213,810368994.600000
Stanley,49.131042,-98.069568,835307119.800000
St. Clements,50.267428,-96.693630,835742697.800000
Ste. Anne,49.628008,-96.543612,480418390.900000
Ste. Rose,50.999988,-99.450182,634438219.700000
St. Franois Xavier,49.986370,-97.664388,208344267.100000
St. Laurent,50.430027,-97.793858,539538431.000000
Stuartburn,49.133494,-96.514736,1167081738.000000
Swan Valley West,52.030631,-101.407025,1731612184.000000
Tache,49.730304,-96.724747,582517633.200000
Thompson,49.364695,-98.248582,533680351.100000
Two Borders,49.266243,-101.112127,2328428565.000000
Victoria,49.661157,-98.931010,710513905.300000
Victoria Beach,50.731744,-96.540228,20890583.530000
Wallace-Woodworth,49.931571,-100.957839,2025103083.000000
West Interlake,50.983622,-98.357566,1785603160.000000
Westlake-Gladstone,50.285710,-98.842114,1933854637.000000
West St. Paul,50.017341,-97.115637,88691084.510000
Whitehead,49.797992,-100.257914,581598604.800000
Whitemouth,49.955201,-95.956607,682197992.500000
Winnipeg,49.863657,-97.157316,475215880.200000
Woodlands,50.212442,-97.716210,1241186661.000000
Yellowhead,50.461584,-100.507911,1161091338.000000
